date,user,name,text,retweet,favorite,location
2021-08-14 23:03:13,BostonBubbalooo,Bubba Looo ♿️😷 FullyVaccinated #GetVaccinated,@Lauren4Arkansas Here in Mass we had received the same underlying message at the start of pandemic. As a disabled p… https://t.co/k1TM1rYLP2,0,0,Boston  
2021-08-14 23:03:11,Metmorphosis43,Jackie,@S_Harageones @anemoneanne66 @life_with_riley I was told not to put any clear protection over it because if in the… https://t.co/mohEw5lOZM,0,0,
2021-08-14 23:03:10,OrphanBlue6,Orphan Blue Bedtime Stories,"""France now requires me to succumb to nasal swab antigen tests every 48 hrs to continue accessing public transit, g… https://t.co/Ti8GXAfekB",0,0,"Vancouver, British Columbia"
2021-08-14 23:03:09,vancuts,𝒗𝒆̂𝒏𝒖𝒔𝒍𝒚 ⁷,"@JM_Sparkle goodnightt luvv, take care and good luck with the vaccine💗",0,0,~ 𝒫𝑒𝑡𝑟𝑖𝑐ℎ𝑜𝑟 ~
2021-08-14 23:03:08,MikeMit74840955,Mitch94541 LVDSA member,"@e_galv WOW!  This one is very thought provoking, imho.  I have never had a vaccination since the military, never b… https://t.co/Le5vOQBfI1",0,0,NV. U.S.A.
2021-08-14 23:03:07,brentbronze,The Bronze Age 🦊,"If you think the vaccine is bad consider why Africa has been deliberately left out of vaccine circulation 
You real… https://t.co/VlwCCdtLPg",0,0,he/him 
2021-08-14 23:03:06,chloebaby1221,Chloe,@hmad935 @JEWEL01895958 @CookieMillz @NaraLove23 mRNA vaccine forces your cells to create a spike protein. It’s a h… https://t.co/nqWtdk6ipi,0,0,United States
2021-08-14 23:03:06,slego54,Jennifer Lynn 💕🌸☀️,@KBrookeGolisch Thank you for this. My best friend won’t get the vaccine and I want to bash her head in!!,0,0,"Rock Hill, SC"
2021-08-14 23:03:05,kuntri_,_Koochalicious,What if we offer vaccines in the non-urgent groups at A&amp;E and in out-patient clinics. You come curative for your di… https://t.co/M2pHZjub32,0,0,u too nuff
2021-08-14 23:03:04,ColwellMD,"Chris Colwell, MD","The vaccine is much safer than the virus. For everyone!

https://t.co/SB1g3EPZGi",0,0,"San Francisco, CA"
2021-08-14 23:03:03,thetvlinsider,The Travel Insider,We wonder how well this will end for Mexico.  See :  Mexico Will Remain Open For Tourism With No Testing Or Vaccine… https://t.co/EZXKUx1xlk,0,0,US and everywhere the internet reaches
2021-08-14 23:03:02,rogerlaughed,Kian currently rereading One Piece,Ngl I think the virus is more antifa than the vaccine at this point https://t.co/Gv57YqLXZ8,0,0,
2021-08-14 23:03:01,MitchGerads,Mitch Gerads,"All I know is that every time I saunter into my local CVS , or our local grocery, there’s always a little line for… https://t.co/T1jN6h7lfi",0,0,"Phoenix, AZ"
2021-08-14 23:03:01,13274838_,ANDREA,Hi guys how many days did your arm hurt after the vaccine? I’m in so much pain rn 😫,0,0,"Sydney, New South Wales"
2021-08-14 23:03:01,ruralnordic,ησя∂ιsк,"In France, citizens without a domestic “vaccine passport” may face up to six months and jail and a €10,000 fine.

S… https://t.co/SU3mpgXHr4",0,0,Rural Sweden
2021-08-14 23:03:00,InfiniteZox,Zox,@FransicoUchiha @dylbptel @jsports1999 @Plugs_2004 @NetsDaily Covid vaccine isn’t even the same as those old vax… it’s an mRNA,0,0,
2021-08-14 23:02:59,charmedone626,Kelly Mecifi,@LaurentduMaroni @BronsonT518 @lindyli @joncoopertweets @GregAbbott_TX I agree 100%. If they couldn’t trust the vac… https://t.co/CVxH7Ix46I,0,0,"Lumberton, NC"
2021-08-14 23:02:58,YoMan32698435,YoMan,@MikeGal041 May be because of many vulnerable have been fully vaccinated early. But USA still have high level of pr… https://t.co/QNIDtkhPUf,0,0,
2021-08-14 23:02:57,JamieJWhite1,Jamie,@JoeBiden Our PM Scott Morrison here in Australia has directly brought our country into lockdown because he lied ab… https://t.co/soaKgNGvUG,0,0,"Sydney, New South Wales"
2021-08-14 23:02:57,koan4uu,ToughLove,'Vaccine passports' are here. Here's how to prove your Covid-19 vaccination status on your phone - CNN 👏👏❤️ https://t.co/qrsvTMpW5T,0,0,
2021-08-14 23:02:56,JohnnyRevvv,JohnnyRev,@mattgaetz No vaccine for child trafficking ....otherwise you might have avoided Federal Prison,0,0,"Brooklyn, NY"
2021-08-14 23:02:55,ceehope,ceehope,@TheRealMarkLevy @anet2111 They believe hospitals are perpetrating this fraud i.e. Covid to make money. And the doc… https://t.co/VpLGNZsQEi,0,0,
2021-08-14 23:02:55,taeXrim875,rimz⁷,@JM_Sparkle Good night Char and Good luck with the vaccine... take care💜,0,0,
2021-08-14 23:02:54,Danistern9,Dani Stern,@ikepoker What exactly are they saying here? The cabal or whatever created covid and then also created the vaccine?,0,0,
2021-08-14 23:02:52,houduh,draken stan account,omg...yall were not lying about how bad the covid vaccine fucks with your period....im dying,0,0,"Philly, she/her, 23"
2021-08-14 23:02:51,PatrioticCougar,Silent Majority,Threatening people with job loss or denying access to goods and services for not taking an experimental mRNA vaccin… https://t.co/hcEX88xBUO,0,0,
2021-08-14 23:02:50,George_O_E,Dr O.G,Also do so with a mask and two doses of the Covid vaccine. https://t.co/Hwk62ifRuW,0,0,"Lagos, Nigeria"
